model_name,configuration,series_count,mae,rmse,mape,smape,r2,mase,selection_eligible
Holt-Winters,default,5,195.03712803596116,404.386716172371,4996.838273078425,111.03499978432868,-6.42814127802273,2.2091670325515116,True
MLP,default,5,193.84110712890296,408.279666635938,5301.282766104965,120.3690107663991,-7.588638206968012,2.518206134004817,True
ARIMA,default,5,190.48348855503895,408.42569474164327,5501.740423055254,119.02470211400251,-4.228452269450582,2.055136587998366,True
Exponential Smoothing,default,5,171.6814785621554,409.10215517269637,4128.616103823028,117.89290255457766,-3.997407107917632,1.9826006498410478,True
SARIMA,default,5,197.05203125567473,409.41210422462916,5597.012639988974,120.34253302907686,-9.51729415669997,2.6598331368188224,True
ElasticNet,tuned,5,210.70062188282773,412.66835571533375,5312.507867027221,128.0277126364929,-15.462613093319254,3.150649468068893,True
MLP,tuned,5,204.02085493237485,435.7340059353734,5399.55820437092,122.69294521605329,-12.620246341100962,2.9727320397912194,True
Moving Average,default,5,294.18654487813814,453.5798382050796,9324.281361437179,130.36359795348767,-0.7737784639674894,1.4698875093024268,True
Naive,default,5,236.39111111111112,460.8710418768431,4516.200384780161,112.86420224925541,-0.6160762505995058,1.0095227384115903,True
AdaBoost,default,5,212.50430123094975,467.48479514660556,6999.42271304577,119.13630607821713,-609.1335241080011,11.584876864790491,True
ElasticNet,default,5,272.41081241841795,485.1132938113475,7514.032502668211,134.83755917871213,-26.49283374357479,4.037279567577866,True
Ridge,default,5,273.2556126953253,486.0387851874373,7562.8447112087915,134.7716185700718,-26.819220157050523,4.048238348085572,True
Gradient Boosting,default,5,271.19535727736377,493.30987029706574,9538.31495261734,122.07728887751882,-15.074921452808402,2.9443258718222705,True
Extra Trees,default,5,315.28990370370377,552.2729668751239,9557.330250266585,120.51842949134837,-9.499286674886672,2.829412604038309,True
Random Forest,default,5,399.59078675260537,554.6027389095965,15500.8012232596,129.09337097917032,-79.119604564297,6.148337670640172,True
AdaBoost,tuned,5,285.4992691185961,594.1286584005499,11437.016135672304,118.10206575675572,-1026.8003358810997,16.545070769397764,True
Holt,default,5,507.0262170435797,629.8754776505839,19207.01366362899,117.17821267197151,-2.1224471937356197,1.7559308793749993,True
Decision Tree,default,5,399.2609955577438,703.8096773778235,10531.000930627524,111.1472907074286,-84.1169776264179,3.9214038888499245,True
Seasonal Naive,default,5,359.60222222222217,756.9375206214326,7858.959853641977,89.40608762305176,-7.978323641999339,1.7317411211418183,True
Lasso,default,5,496.9906394217284,776.7694044176719,17515.258420563525,142.08535532586538,-32.47483785070426,4.849002602645283,True
Linear Regression,default,5,778.0150698689692,1327.4575678737385,29299.173448413767,142.41473586993234,-24.456204952890566,4.036263573960959,True
