K,Inertia,Silhouette,DaviesBouldin,CalinskiHarabasz
2,16353.847584853394,0.9610746572438482,0.35213026917862844,2508.4761672401096
3,12732.406595941073,0.517918810415665,0.6531756002325475,2223.4021630086686
4,9605.667247954909,0.515287153679883,0.551399790436355,2431.7373322494764
5,6526.149073008723,0.5491120912412901,0.5789647142169517,3191.873914095925
6,5357.40802040005,0.5542236519421632,0.6377438858085219,3299.624100128509
7,4527.540567876943,0.5551235742238505,0.6448782597700056,3382.5781954552904
