model_name,configuration,series_key,status,reason,mae,rmse,mape,smape,r2,mase,parameters
Extra Trees,default,BROCADE RING PURSE  | United Kingdom | Accessories,evaluated,,796.5024814814815,1434.5013696600784,32193.84826507137,169.25741129697607,-2.9404862290557623,1.8987513378483225,{}
Gradient Boosting,default,BROCADE RING PURSE  | United Kingdom | Accessories,evaluated,,611.2844487392887,1079.2344602052378,24707.008923509315,160.64046576906856,-0.9010407828039586,1.4438263752630904,{}
AdaBoost,default,BROCADE RING PURSE  | United Kingdom | Accessories,evaluated,,278.4518491303248,814.8520814471354,6157.870158086383,154.13980167492252,-0.03227044842436596,0.7080051922669889,{}
MLP,default,BROCADE RING PURSE  | United Kingdom | Accessories,evaluated,,310.5382991758229,796.3569452678163,8952.707058219576,156.41982126442568,0.0016278779707102158,0.7518450955669099,{}
Naive,default,PACK OF 72 RETRO SPOT CAKE CASES | United Kingdom | Other,evaluated,,60.077777777777776,74.12725700190826,2286.6771787407156,68.27312424228504,-1.3896450049270876,1.1747132518126242,{}
Seasonal Naive,default,PACK OF 72 RETRO SPOT CAKE CASES | United Kingdom | Other,evaluated,,56.400000000000006,87.39429708587942,1914.985464858497,83.88959087103753,-13.264154456842853,2.872833874771928,{}
Moving Average,default,PACK OF 72 RETRO SPOT CAKE CASES | United Kingdom | Other,evaluated,,40.21298584270645,48.2590494446807,1863.0365471064276,160.73369535589484,-2.4243297929079106,2.850221711374417,{}
Exponential Smoothing,default,PACK OF 72 RETRO SPOT CAKE CASES | United Kingdom | Other,evaluated,,75.310472948287,78.84303040004416,5204.015531083071,157.5817568586344,-19.798828047921287,7.157830136673476,{}
Holt,default,PACK OF 72 RETRO SPOT CAKE CASES | United Kingdom | Other,evaluated,,89.75773566254372,109.7826259333554,3537.253121639949,74.66919028345549,-3.9544178592395522,1.609983531275024,{}
Holt-Winters,default,PACK OF 72 RETRO SPOT CAKE CASES | United Kingdom | Other,evaluated,,66.90704460266942,76.68691237469231,4199.937612297373,130.17130548150715,-32.171505373002674,8.054409243177131,{}
ARIMA,default,PACK OF 72 RETRO SPOT CAKE CASES | United Kingdom | Other,evaluated,,73.990842193912,77.48989855393442,5107.366699505298,157.3048256312251,-20.96800745637631,7.3223538579362355,{}
SARIMA,default,PACK OF 72 RETRO SPOT CAKE CASES | United Kingdom | Other,evaluated,,81.13799029625717,87.1379632878545,5535.551718003987,159.17415307964822,-47.55951607292355,10.314179740222668,{}
Linear Regression,default,PACK OF 72 RETRO SPOT CAKE CASES | United Kingdom | Other,evaluated,,259.04113956756345,290.0646933496512,13677.694867126285,153.4942012718203,-56.08954687903344,8.926115628125698,{}
Ridge,default,PACK OF 72 RETRO SPOT CAKE CASES | United Kingdom | Other,evaluated,,170.0249655870485,189.07579180350888,9690.559985638183,165.0008319657895,-131.07185470075862,15.95650639471451,{}
Lasso,default,PACK OF 72 RETRO SPOT CAKE CASES | United Kingdom | Other,evaluated,,215.58597240125036,238.9909383467085,11702.587007664066,167.87096506113548,-146.27751945977968,16.74884419622083,{}
ElasticNet,default,PACK OF 72 RETRO SPOT CAKE CASES | United Kingdom | Other,evaluated,,169.79254802533177,188.6360332418742,9661.775536567666,164.94030190397748,-129.45504739547917,15.913814465734959,{}
Decision Tree,default,PACK OF 72 RETRO SPOT CAKE CASES | United Kingdom | Other,evaluated,,125.6000027699079,200.65152118529554,8393.805066729963,129.4026674760947,-413.05887579120207,14.102426577811535,{}
Random Forest,default,PACK OF 72 RETRO SPOT CAKE CASES | United Kingdom | Other,evaluated,,152.01749038800708,177.77962606034967,11274.875912915677,163.05712585220786,-392.7331664302606,25.245510929832275,{}
Extra Trees,default,PACK OF 72 RETRO SPOT CAKE CASES | United Kingdom | Other,evaluated,,109.20022222222222,128.0186679465297,6886.592679759269,161.2881793060386,-44.32339201965906,9.715052961436989,{}
Gradient Boosting,default,PACK OF 72 RETRO SPOT CAKE CASES | United Kingdom | Other,evaluated,,211.09768747020632,226.5631535023238,15126.213816153542,164.93329655105725,-74.4107503003608,11.159319882113223,{}
AdaBoost,default,PACK OF 72 RETRO SPOT CAKE CASES | United Kingdom | Other,evaluated,,274.14176945655123,382.43935989865395,21655.419740870926,162.6793842340023,-3045.701175376502,55.19058228100183,{}
MLP,default,PACK OF 72 RETRO SPOT CAKE CASES | United Kingdom | Other,evaluated,,96.88462220340178,104.2495100537012,6950.960586917593,159.5753484797327,-37.87024696790568,9.605210054786369,{}
Naive,default,WHITE HANGING HEART T-LIGHT HOLDER | United Kingdom | Lighting,evaluated,,107.52222222222223,163.84647601990272,1522.4857522922255,79.91239870060161,-0.15744084975321138,0.71748337027415,{}
